[_PG-8883];[МД];
[_TG-012];[МД];
[PD007];[Датчик];[4];[6];
[Е-3001D_8908];[PSV-004][o];[Вакуумный остаток от PSV-004][i];
[Е-3001D_8942];[Е-3001D_ЗКЛ_ЗАГЛ_НЗ_8931][i];[В дренаж от E-3001-D, S-3002][i];[Е-3001D_ЗКЛ_ЗАГЛ_НЗ_9040][i];[Е-3001D_ЗКЛ_ЗАГЛ_НЗ_9121][i];[Е-3001D_ЗКЛ_ЗАГЛ_НЗ_9294][i];
[Е-3001D_8952];[Е-3001D_ДР_8945][i];[Е-3001D][i_tube];[Е-3001D_ЗКЛ_8957][i];[Е-3001D_ЗКЛ_8963][o];[Е-3001D_ЗКЛ_ЗАГЛ_НО_8993][o];
[Е-3001D_8974];[Е-3001D_ДР_8969][i];[Е-3001D_ЗКЛ_8963][i];[Е-3001D_ОК_8980][o];
[Е-3001D_8985];[Е-3001D_ЗКЛ_8976][o];[Е-3001D_ОК_8980][i];
[Е-3001D_8990];[Е-3001D_ЗКЛ_8976][i];[Промывная жидкость от V-3020][o_Е-3001D_2];
[Е-3001D_9004];[Е-3001D_ЗКЛ_ЗАГЛ_НО_8993][i];[Е-3001D_ЗКЛ_9012][i];[TG-012][5];
[Е-3001D_9011];[Е-3001D_ЗКЛ_9012][o];[Е-3001D_ЗКЛ_ЗАГЛ_НО_9417][i];[Остаток висбрекинга из Е-3001D в E-3001C][i];
[Е-3001D_9031];[Е-3001D_ЗКЛ_8957][o];[Е-3001D_ДР_9032][i];[Е-3001D_ЗКЛ_ЗАГЛ_НЗ_9040][o];
[Е-3001D_9071];[Е-3001D_ЗКЛ_ЗАГЛ_НО_9417][o];[Е-3001D][o_tube];[Е-3001D_ЗКЛ_9109][i];
[Е-3001D_9090];[Остаток висбрекинга от Р-3003А/S в S-3002][o];[PD007][6];[Е-3001D_ЗКЛ_9220][i];[Е-3001D_ЗКЛ_ЗАГЛ_НО_9149][i];[Е-3001D_ЗКЛ_ЗАГЛ_НЗ_9159][i];
[Е-3001D_9092];[Промывная жидкость от V-3020][o_Е-3001D_3];[Е-3001D_ЗКЛ_9205][i];
[Е-3001D_9095];[Дренаж в V-3027][i_Е-3001D_4];[Е-3001D_ЗКЛ_ЗАГЛ_НЗ_9269][i];
[Е-3001D_9099];[S-3002][i];[Е-3001D_ЗКЛ_9169][o];[Е-3001D_ЗКЛ_ЗАГЛ_НО_9149][o];[Е-3001D_ЗКЛ_ЗАГЛ_НЗ_9159][o];
[Е-3001D_9120];[Е-3001D_ДР_9113][i];[Е-3001D_ЗКЛ_ЗАГЛ_НЗ_9121][o];[Е-3001D_ЗКЛ_9109][o];
[Е-3001D_9180];[Е-3001D_ДР_9175][i];[Е-3001D_ЗКЛ_9169][i];[Е-3001D_ЗКЛ_9183][i];[Е-3001D_ОК_9200][o];[Е-3001D_ЗКЛ_9212][i];
[Е-3001D_9190];[Е-3001D_ЗКЛ_9183][o];[Е-3001D_ЗКЛ_9237][o];[Е-3001D_ЗКЛ_9325][o];[Е-3001D_ДР_9263][i];[Е-3001D_ЗКЛ_ЗАГЛ_НЗ_9269][o];[Е-3001D_ЗКЛ_9255][o];
[Е-3001D_9209];[Е-3001D_ОК_9200][i];[Е-3001D_ЗКЛ_9205][o];
[Е-3001D_9225];[Е-3001D_ЗКЛ_9212][o];[Е-3001D_ЗКЛ_9220][o];[Е-3001D_ЗКЛ_9321][i];[Е-3001D_ЗКЛ_9325][i];
[Е-3001D_9241];[Е-3001D_ЗКЛ_9237][i];[Е-3001D_ЗКЛ_ЗАГЛ_НО_9309][o];[S-3002][o];[Е-3001D_ЗКЛ_9255][i];[Е-3001D_ДР_9408][i];[Е-3001D_ЗКЛ_9280][i];
[Е-3001D_9292];[Е-3001D_ЗКЛ_9280][o];[Е-3001D_ДР_9285][i];[Е-3001D_ЗКЛ_ЗАГЛ_НЗ_9294][o];
