ID;PROP_ID;COMP_ID;SolubilityInWaterTemperature;SolubilityInwaterInMass;SolubilityInWaterInMol;SolubilityInWaterStatus;SolubilityInWaterCoefficients;SolubilityInWaterTmin;SolubilityInWaterTmax;SolubilityInWaterA;SolubilityInWaterB;SolubilityInWaterC;SolubilityInWater@298;SolubilityStatus
20623;11971;20626;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20624;17328;20627;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20625;17116;20628;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20626;16966;20629;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20627;9916;20630;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20628;16725;20631;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20629;14147;20632;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20630;8917;20633;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20631;16959;20634;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20632;11064;20635;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20633;19271;20636;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20634;17356;20637;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20635;11566;20638;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20636;11900;20639;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20637;12752;20640;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20638;14035;20641;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20639;18757;20642;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20640;12632;20643;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20641;16765;20644;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20642;17335;20645;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20643;16740;20646;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20644;16768;20647;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20645;17252;20648;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20646;12554;20649;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20647;5942;20650;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20648;13888;20651;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20649;14120;20652;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20650;17245;20653;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20651;10839;20654;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20652;11297;20655;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20653;11296;20656;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20654;12553;20657;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20655;12552;20658;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20656;12555;20659;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20657;15129;20660;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20658;15454;20661;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20659;11732;20662;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20660;17360;20663;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20661;12023;20664;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20662;17943;20665;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20663;17231;20666;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20664;16413;20667;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20665;17327;20668;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20666;17232;20669;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20667;12273;20670;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20668;17052;20671;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20669;16727;20672;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20670;17239;20673;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20671;2651;20674;-12321;-12321;-12321;Undefined;-12321;-12321;-12321;-12321;-12321;-12321;-12321;Undefined
20672;5502;20675;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20673;1961;20676;-12321;-12321;-12321;Undefined;-12321;-12321;-12321;-12321;-12321;-12321;-12321;Undefined
20674;18487;20677;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20675;13212;20678;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20676;17344;20679;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20677;10037;20680;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20678;17343;20681;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20679;7725;20682;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20680;10162;20683;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20681;13890;20684;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20682;11496;20685;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20683;7978;20686;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20684;10786;20687;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20685;10559;20688;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20686;17282;20689;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20687;17410;20690;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20688;14216;20691;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20689;16734;20692;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20690;16968;20693;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20691;13342;20694;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20692;10058;20695;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20693;16963;20696;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20694;19410;20697;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20695;16719;20698;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20696;10159;20699;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20697;16971;20700;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20698;17326;20701;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20699;16733;20702;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20700;17331;20703;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20701;17347;20704;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20702;15059;20705;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20703;17233;20706;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20704;16760;20707;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20705;19423;20708;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20706;10051;20709;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20707;9217;20710;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20708;9019;20711;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20709;16723;20712;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20710;16972;20713;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20711;12090;20714;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20712;11153;20715;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20713;16741;20716;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20714;14006;20717;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20715;16739;20718;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20716;16798;20719;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20717;14339;20720;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20718;11414;20721;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20719;10156;20722;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20720;16970;20723;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20721;16965;20724;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20722;10167;20725;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20723;10932;20726;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20724;9086;20727;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20725;17287;20728;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20726;9543;20729;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20727;9423;20730;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20728;18884;20731;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20729;18137;20732;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20730;10499;20733;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20731;18138;20734;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20732;7856;20735;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20733;7904;20736;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20734;14518;20737;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20735;9214;20738;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20736;13343;20739;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20737;8993;20740;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20738;16594;20741;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20739;16761;20742;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20740;13528;20743;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20741;17352;20744;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20742;17191;20745;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20743;13671;20746;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20744;17244;20747;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20745;17059;20748;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20746;10446;20749;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20747;16991;20750;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20748;10520;20751;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20749;16728;20752;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20750;13686;20753;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20751;5680;20754;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20752;9812;20755;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20753;11022;20756;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20754;6885;20757;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20755;9445;20758;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20756;8930;20759;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20757;12468;20760;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20758;9089;20761;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20759;14213;20762;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20760;19277;20763;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20761;11021;20764;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20762;10157;20765;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20763;6884;20766;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20764;11102;20767;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20765;7128;20768;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20766;6883;20769;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20767;8250;20770;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20768;11416;20771;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20769;12966;20772;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20770;10265;20773;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20771;18131;20774;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20772;19163;20775;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20773;18133;20776;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20774;18129;20777;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20775;12965;20778;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20776;13119;20779;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20777;14418;20780;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20778;14417;20781;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20779;11819;20782;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20780;19267;20783;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20781;14419;20784;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20782;18132;20785;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20783;18130;20786;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20784;12843;20787;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20785;19162;20788;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20786;10814;20789;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20787;5880;20790;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20788;12830;20791;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20789;17111;20792;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20790;11394;20793;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20791;18134;20794;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20792;18135;20795;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20793;17112;20796;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20794;10155;20797;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20795;13091;20798;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20796;16986;20799;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20797;17246;20800;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20798;12403;20801;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20799;5819;20802;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20800;17281;20803;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20801;16722;20804;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20802;12701;20805;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20803;17221;20806;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20804;11287;20807;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20805;11291;20808;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20806;5950;20809;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20807;12278;20810;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20808;16934;20811;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20809;8230;20812;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20810;5508;20813;-12321;-12321;-12321;;-12321;-12321;-12321;-12321;-12321;-12321;-12321;
20811;2654;20814;-12321;-12321;-12321;Undefined;-12321;-12321;-12321;-12321;-12321;-12321;-12321;Undefined
